ObservationDate,Country/Region,Confirmed,Deaths,Recovered,Tests,Population,Latitude,Longitude
2020-10-05,China,384,3,335,3600,1402000000,41.93045339683714,79.76220086042633
2020-10-03,US,356,8,91,2858,331000000,14.597651339809907,-36.538473087648185
2022-01-23,China,550,11,389,3483,1402000000,15.677928857935967,-60.59309012717232
2020-12-17,India,366,9,196,2777,1380000000,1.2350149494242402,15.922386257582616
2021-03-22,Spain,440,5,111,3141,47000000,-24.035222564825652,-23.290711822263773
2021-07-26,Italy,444,10,171,2509,60000000,4.4691233552486835,-90.16459862311697
2021-07-29,India,455,4,210,2320,1380000000,5.049931056713014,8.778087763165644
2020-05-08,India,239,4,159,2055,1380000000,10.336110479158457,-26.37069152079131
2021-02-17,Brazil,432,6,108,2219,212000000,6.989626390075557,-57.3004271325314
2021-03-31,China,467,10,93,1410,1402000000,-22.55248433090381,-128.87131461251568
2020-03-22,US,290,1,191,1662,331000000,46.30983671649294,-46.106553465199084
2020-05-24,India,331,4,191,2427,1380000000,1.6264485725753914,-77.68295846827102
2021-07-04,India,487,11,111,2498,1380000000,26.527029520476262,-45.18661217186897
2021-12-15,China,542,12,398,3465,1402000000,1.1232373815101582,-70.08394737649434
2022-03-02,Brazil,585,16,511,4248,212000000,-12.455120250361936,22.902304162272912
2022-03-05,Italy,605,5,193,3513,60000000,-4.312859740573046,-12.046790782536448
2020-03-16,China,252,3,171,1462,1402000000,25.049117724913557,-110.42992420035594
2020-03-13,Brazil,259,2,142,1437,212000000,39.95015722181196,47.99870708080124
2020-11-09,US,338,4,249,1520,331000000,7.239808461216036,136.07962865069078
2020-12-30,Brazil,359,7,294,1134,212000000,-20.39612111906966,73.46663971360363
2020-07-08,Spain,324,4,205,1270,47000000,39.732382085055704,88.15976594469697
2020-07-05,India,294,7,231,1480,1380000000,-29.43582848695857,3.494273934028257
2021-12-18,US,493,3,289,3742,331000000,-39.820963334164226,111.56758066302044
2021-11-11,China,513,5,296,2809,1402000000,54.45779013649137,137.412329252978
2021-08-07,US,408,12,177,3299,331000000,12.213598653436335,139.74932385940326
2020-02-25,Taiwan,259,3,226,713,24000000,48.72864542496748,49.604666332256784
2021-10-13,Brazil,500,11,441,3875,212000000,-28.99583165885303,14.222787349833254
2021-11-09,Taiwan,496,10,122,1517,24000000,-12.475831592482788,-100.49484427054821
2021-08-20,Brazil,456,5,358,1851,212000000,-22.832720326408626,-29.245448342476934
2021-07-15,Brazil,439,2,285,3237,212000000,-19.28823122646287,85.77381820427149
2020-04-26,US,274,2,152,801,331000000,2.3275583531036332,16.099173521287156
2021-01-15,India,395,8,173,1875,1380000000,47.91890105098349,124.89595425889766
2020-05-07,Brazil,283,5,173,2108,212000000,-24.629801824061488,114.96675547707517
2021-04-15,Brazil,409,10,89,2159,212000000,33.08293911521908,8.916035610883
2020-03-25,Brazil,266,2,151,2239,212000000,-12.20810187690645,59.321154769966654
2021-05-28,India,511,10,220,1275,1380000000,-19.225457366477592,48.65098002550471
2021-06-27,China,434,3,175,3457,1402000000,-6.963589494055675,146.50530291082964
2022-02-24,Italy,590,14,196,3751,60000000,-20.576678839915918,14.295847884926303
2021-03-19,Brazil,423,11,145,3686,212000000,-31.19353537109598,-119.88968977216632
2020-02-02,China,234,3,159,1198,1402000000,-14.00475270854001,-10.091467084507485
2021-05-08,Brazil,428,2,165,1954,212000000,-19.622348514411645,-96.56099262439548
2020-05-22,US,280,2,153,1290,331000000,42.796355123649874,29.813203990400325
2020-09-15,Spain,350,5,113,1242,47000000,4.498561535171376,103.74601818767954
2020-11-04,China,354,2,224,2723,1402000000,39.39639784676589,117.55690874724974
2021-08-30,China,518,9,291,2847,1402000000,48.89501675603654,-40.224362068364215
2020-05-01,India,275,3,126,1050,1380000000,-10.91729128586356,45.172663437261775
2021-11-01,Taiwan,505,3,202,1616,24000000,16.22188456274391,67.04935375448042
2021-11-21,Brazil,519,9,403,3953,212000000,-23.98909938018254,117.43305332926309
2020-02-21,Brazil,241,5,109,1645,212000000,18.60482251361246,117.5125707524638
2020-02-11,Taiwan,253,6,90,1818,24000000,-20.217455849946774,-3.9301205257335994
2022-01-24,Spain,546,12,253,3397,47000000,26.539897905705473,88.06631139909413
2020-12-25,Spain,391,8,127,1812,47000000,-24.46352282515179,56.81264633136439
2021-09-09,India,508,11,125,3000,1380000000,29.126660947762417,-59.76781503712027
2021-11-23,India,515,12,331,3841,1380000000,-31.029386200561845,-117.26425891193253
2020-03-12,Brazil,265,5,194,1487,212000000,-5.684626199785825,-53.963512680310856
2020-05-18,US,295,1,168,2460,331000000,-37.86578398770159,-3.2886233974432173
2021-01-21,Spain,378,10,81,1752,47000000,53.92504249733581,15.76475798729399
2021-09-26,China,526,10,418,1663,1402000000,17.166363829122467,-114.44065905699729
2021-12-20,Spain,497,7,203,3086,47000000,4.807707098164251,29.102890636182565
2021-06-01,US,430,10,289,2237,331000000,-4.983485947593721,143.4097909218483
2020-11-25,US,353,8,188,2000,331000000,44.882645820253416,-35.8206100726662
2020-10-25,US,371,9,301,1794,331000000,16.205536518048227,31.412013215189347
2021-05-19,India,491,12,156,1833,1380000000,3.916871157726092,-21.573716769809508
2021-08-09,Taiwan,510,4,322,4214,24000000,-0.07206395893481954,36.474003424812054
2021-12-11,US,490,5,165,4163,331000000,56.70022320122969,-121.37240323334846
2020-01-30,Spain,264,1,81,1527,47000000,1.3567110372950992,73.21161626911507
2021-05-23,China,428,4,337,929,1402000000,-7.894079140627781,-85.83787226608757
2020-02-13,Italy,253,2,121,2029,60000000,3.1338404012218035,127.0935888899495
2021-01-25,China,370,7,183,1560,1402000000,32.73437467811526,-28.029253953062124
2020-05-01,Brazil,274,6,104,2007,212000000,-26.853181235372446,32.89241381228632
2021-07-16,India,512,6,271,3551,1380000000,30.47180085197317,97.82124890235812
2020-08-24,Brazil,346,8,209,1064,212000000,41.74104268822421,40.39516513253349
2022-03-01,China,533,8,249,2746,1402000000,47.517568418807556,26.06918259284089
2021-12-30,US,581,5,368,3129,331000000,18.022181751012283,-87.45679171816954
2020-10-22,Spain,384,3,129,3458,47000000,54.39236962313248,14.884603120519046
2021-12-31,China,569,16,341,2405,1402000000,51.68358877483084,78.48237684442654
2022-01-16,Taiwan,516,14,172,3644,24000000,-26.907418240266075,132.55852735647363
2021-12-13,Italy,542,5,292,2637,60000000,30.95293508733019,108.85444129445958
2020-08-10,US,361,3,320,886,331000000,-16.67612540160198,74.35765946361497
2021-09-26,Italy,483,12,164,4328,60000000,59.80277088677167,17.66994032276554
2021-01-04,Taiwan,386,7,241,1609,24000000,46.7072856783127,14.299482058263948
2021-05-07,Spain,439,7,314,1381,47000000,57.632307167041375,19.993118730018153
2021-11-04,Brazil,467,12,206,2262,212000000,-14.98414259532833,0.5255055367808552
2021-11-09,US,504,9,243,1030,331000000,57.76111831441679,102.2405978246737
2021-09-07,US,472,10,143,1751,331000000,-29.73267110456885,-92.863716123392
2020-12-01,India,378,8,271,1519,1380000000,31.702720643549156,-44.22468729677861
2022-03-05,Taiwan,496,9,107,3197,24000000,-8.528901885435921,-110.96444786806964
2021-02-18,US,412,9,368,2369,331000000,39.679345600365664,-49.85582616451474
2021-07-09,US,514,10,147,1540,331000000,-5.607914009724681,-57.43338378491761
2022-03-23,Italy,526,7,193,3037,60000000,52.63683668091592,13.838161799685395
2020-12-10,Taiwan,339,9,254,1374,24000000,-1.6919898519488612,-93.06057202717571
2021-05-02,India,400,3,305,2702,1380000000,-5.89900473924385,-36.999210146837854
2021-06-29,US,464,2,365,2930,331000000,-12.434138284067238,11.94239010582757
2021-09-26,Italy,525,13,136,2391,60000000,13.551114854285927,-126.9918175604983
2020-10-25,Taiwan,338,7,289,2032,24000000,-25.552868524342852,-125.10849005092903
2021-07-01,Spain,470,13,257,2642,47000000,17.904430634456382,0.9949943216284396
2021-12-07,Brazil,547,8,390,1549,212000000,-18.701188370913535,14.937923010022956
2021-10-10,Italy,565,7,218,4359,60000000,-19.182412272494616,6.255811389480215
2020-11-08,Brazil,386,2,246,3666,212000000,43.365422388691655,-64.88294804453581
2021-10-07,Italy,513,15,379,2205,60000000,-6.502426252644618,20.920439707454847
2021-06-23,Italy,463,9,394,2259,60000000,46.76023302648723,9.057636320754995
2021-05-06,US,447,4,208,3268,331000000,23.22443613248572,56.203183309469665
2021-07-25,China,420,11,259,3751,1402000000,-38.758401858602575,-9.069126729360335
2021-08-12,Italy,562,14,187,2538,60000000,46.63644244361926,18.452257817852427
2021-05-10,Brazil,477,9,142,3819,212000000,3.9809243125701386,-88.99045905924532
2020-08-08,Spain,321,8,237,2293,47000000,-12.983114960032303,44.03463925927184
2021-03-29,Brazil,415,4,221,2021,212000000,-1.0996476631662375,-112.68809696850744
2021-05-09,India,433,2,176,2626,1380000000,55.4486143392086,-42.57193493198636
2020-10-05,US,326,5,78,2926,331000000,-22.54789881140615,-86.12225338530509
2020-04-26,India,318,5,267,2721,1380000000,11.62567514373655,-107.4401236242297
2022-01-30,India,543,15,391,3970,1380000000,8.60232385582566,26.96095087299392
2021-07-19,China,416,4,356,2572,1402000000,13.517063946357425,73.41293571625505
2022-02-04,Brazil,528,9,403,3177,212000000,-27.26346532534126,-81.17316806452996
2022-01-19,US,488,9,322,3834,331000000,3.361735294898274,14.802234809038794
2020-12-16,Spain,393,10,165,1191,47000000,-25.13172009379508,148.10184420088126
2022-03-19,India,470,13,212,3426,1380000000,50.417237506883666,59.31839732714005
2021-07-12,US,482,13,345,2020,331000000,43.675417520409994,134.39755795030374
2021-03-11,US,360,8,159,2172,331000000,12.599717231106084,-24.90558564419797
2020-12-08,Brazil,401,10,212,2450,212000000,5.240185481703321,-60.26781733494349
2021-08-03,Taiwan,517,7,259,3689,24000000,-6.034458657123132,-6.20023877076234
2020-04-19,Italy,267,2,238,1472,60000000,44.185207839872604,-34.07517502842495
2020-05-04,Italy,290,4,177,2238,60000000,-30.23362056726707,-48.28649242807495
2021-10-19,China,485,10,213,3094,1402000000,7.496044051838716,21.911398004098857
2020-02-01,Italy,268,5,125,1747,60000000,21.276861779674462,-67.11932235631633
2022-01-09,US,526,5,191,3231,331000000,4.302815281544483,93.59126123540585
2020-07-29,Spain,298,1,92,1826,47000000,-14.803405601379545,-51.270548516706086
2021-05-24,Italy,370,6,182,2796,60000000,51.09205583282453,-28.02912929697783
2021-04-11,Taiwan,417,9,144,3831,24000000,-18.80927949889388,55.68653661991459
2022-02-08,India,527,7,212,2208,1380000000,45.08985999048342,85.8686962708085
2022-02-10,US,604,12,322,2218,331000000,-5.913224529587723,86.66162640889544
2021-06-28,China,448,11,296,3047,1402000000,-37.01567980629374,62.891157526225186
2020-04-25,Italy,270,3,120,1251,60000000,-1.3050776077704,-12.498377782357437
2020-04-22,India,292,8,74,1680,1380000000,44.12095147100479,148.38358087778954
2022-03-30,China,602,8,355,4120,1402000000,-16.903420478073205,64.07799321018268
2020-07-24,US,341,3,261,1827,331000000,13.416142359482713,-0.29894766595691635
2021-01-27,US,389,7,227,2010,331000000,30.5856481023647,34.06465970468537
2021-01-19,US,418,11,330,1987,331000000,17.00989635659571,129.17127978074512
2021-05-11,Taiwan,394,8,250,2606,24000000,18.284473184439577,-43.37201812582292
2020-02-21,US,291,7,193,2609,331000000,25.987814804596482,-40.47793467830324
2020-03-30,Italy,283,3,103,1865,60000000,-20.695590547183947,-90.19482570082776
2020-03-11,US,258,4,225,2687,331000000,35.44696296591698,96.72086406831406
2022-01-10,Spain,538,15,473,2694,47000000,-5.384940932270219,-76.71832599657372
2020-11-02,Italy,358,8,300,2257,60000000,4.110979474410804,-89.55900419937886
2020-06-11,Italy,313,6,89,1877,60000000,23.8459940860252,-117.27543517679185
2021-03-14,US,412,7,364,3633,331000000,7.258666787108162,57.415189586743935
2020-09-03,China,360,6,121,2222,1402000000,8.610243660865805,111.00818187272014
2020-07-28,India,311,5,90,2102,1380000000,20.140469387267146,50.672911827162835
2021-08-10,US,466,13,383,2832,331000000,39.76617275335148,-91.95281401231111
2020-07-21,Spain,341,7,127,2630,47000000,54.82147368068847,-121.94478145019715
2020-12-31,Brazil,378,6,213,1230,212000000,-26.946987815766985,138.6900101861708
2021-08-16,Taiwan,539,13,219,1111,24000000,-35.04876048220894,-8.648797372571806
2020-11-10,China,363,3,313,2445,1402000000,43.28174738323199,-113.23355582671928
2020-03-20,Taiwan,261,2,217,2253,24000000,-32.26398314476542,-126.60864347516166
2022-02-07,US,571,5,130,4648,331000000,-36.64121783910951,-35.493836147407876
2020-05-19,Brazil,268,1,180,915,212000000,51.04418833591845,-4.7497965761948535
2022-03-22,US,592,15,167,1316,331000000,35.516915030420435,130.5208826622138
2022-03-28,Italy,579,15,351,1798,60000000,1.0006394056001682,129.7355119055519
2022-02-24,China,641,15,369,4186,1402000000,28.01933053121455,4.590823978297607
2020-03-30,Taiwan,273,3,82,2042,24000000,-5.3601312590733485,105.19543961107036
2021-10-23,Italy,505,9,285,1490,60000000,18.605409408739447,-38.74897348416643
2021-02-15,India,385,6,156,2308,1380000000,31.979263973317444,-78.75364840042108
2020-05-31,Brazil,303,3,91,1465,212000000,11.217214552801217,88.4764479296486
2020-12-21,US,382,7,308,2363,331000000,0.5276719663910754,-33.79354653945779
2022-03-29,US,548,7,353,2617,331000000,43.33453783753963,89.57861473006457
2020-06-30,US,314,6,168,1418,331000000,-19.72566952728726,-57.90318011854713
2021-10-13,Italy,472,7,331,2437,60000000,58.3755371036152,-74.19667352710874
2021-07-28,Italy,420,8,292,3295,60000000,9.972583864350028,-70.87674765583259
2022-03-28,Italy,611,10,242,1896,60000000,23.0766275990456,-102.00083774187728
2022-01-22,Spain,573,7,423,2438,47000000,-20.195072621883668,-73.92388530618038
2020-10-05,US,337,4,73,2765,331000000,-39.205493216275386,11.800738672195166
2020-06-03,India,306,6,124,1736,1380000000,-13.25716190603585,137.04144771826054
2021-11-07,India,493,11,142,2211,1380000000,15.082327252624694,-126.52583850144747
2020-01-25,India,269,1,61,2428,1380000000,16.73968025079855,-96.6819353136014
2021-01-23,US,379,10,201,2224,331000000,35.8132882350929,18.98862104852634
2020-02-19,Italy,232,4,109,1450,60000000,8.77785217969437,143.39181761871112
2021-07-24,Taiwan,480,9,274,2108,24000000,52.26965910994022,-72.05245907824136
2021-08-01,Italy,449,9,313,1809,60000000,-2.0841032738664325,-49.771718759844305
2020-06-20,US,293,4,132,2256,331000000,54.05907796185187,53.70463908205517
2020-04-29,Brazil,310,6,76,2230,212000000,20.093391809532882,24.8673540087743
2020-08-14,Taiwan,317,3,63,1432,24000000,50.97996943022575,82.17239275182783
2020-07-11,China,328,2,243,2252,1402000000,19.050485853489597,54.53507160825353
2022-01-25,US,542,12,206,4020,331000000,50.91858223781621,-113.06520353575044
2020-12-27,Italy,335,7,271,2734,60000000,-38.485774479481414,-39.18889425287499
2021-09-27,Taiwan,500,6,434,2501,24000000,-39.09662189821676,-125.53887790794718
2020-11-11,US,329,4,152,2734,331000000,19.090554431189027,-129.45884005229007
2021-07-21,US,457,6,231,4159,331000000,20.372320505373814,104.11805747635216
2021-12-04,Brazil,509,15,219,1816,212000000,56.63551896944908,-42.96262344951906
2020-03-23,India,283,2,112,1483,1380000000,36.98065187231083,66.59106373034314
2021-12-22,US,500,13,260,2325,331000000,5.909986130862535,-40.5413855715493
2021-11-04,China,506,12,334,1972,1402000000,-34.2416303000153,121.11286660063283
2021-09-07,Spain,495,10,229,1879,47000000,19.42217191506665,-20.7463604137329
2021-08-27,China,481,12,348,2587,1402000000,-20.839461409969893,145.77087876748163
2020-06-15,Brazil,302,7,173,2808,212000000,-15.657307962375665,135.5217752178392
2022-01-22,Taiwan,531,9,288,2560,24000000,-8.825043572614376,-113.74768974923032
2020-11-23,Brazil,352,6,143,2364,212000000,56.530183225626644,-9.88683585581957
2021-09-30,Brazil,496,8,301,2511,212000000,21.569628698687517,47.26038966934519
2021-08-21,US,544,7,348,1605,331000000,25.308644554831417,-37.118197623478636
2020-05-01,US,274,2,135,1541,331000000,11.492736175964204,78.21232363580484
2021-12-20,India,540,9,315,2571,1380000000,-24.825064726096432,113.21479385928151
2021-03-14,India,438,9,98,2633,1380000000,38.696363260799345,-17.539966983484305
2020-10-08,India,309,5,99,1584,1380000000,13.602439559884374,-20.48435913486186
2021-12-08,India,577,14,178,4348,1380000000,50.04386621652982,-114.02074400167533
2020-03-11,Italy,284,6,81,2601,60000000,52.26656953303939,-111.98092874524824
2020-08-08,US,331,9,257,2820,331000000,43.43454313249896,-45.75505822263143
2021-03-16,China,395,3,277,2105,1402000000,-16.7741728778624,-129.32480624663526
2022-02-07,Italy,573,4,389,4340,60000000,14.244056279456764,-33.24263633653263
2021-06-13,Taiwan,466,13,116,3260,24000000,21.162212416436603,134.81836511907852
2020-12-31,China,344,5,158,1663,1402000000,30.108839642730388,128.15989301784424
2021-11-27,Brazil,590,16,187,2711,212000000,17.2093494214869,106.88486337110373
2021-06-18,Italy,492,7,325,3842,60000000,-38.27836335276022,70.33865712926624
2022-03-02,US,529,12,461,3333,331000000,41.14309554571774,-18.35763812923618
2021-05-10,China,438,2,113,2740,1402000000,14.922113130621966,126.32269249266636
2020-12-26,Brazil,405,8,214,1439,212000000,-28.343185889891917,-43.98277908106799
2021-02-25,Brazil,403,6,142,2844,212000000,-36.566592755860455,12.9716342004985
2021-07-25,Brazil,469,6,193,980,212000000,32.61279399061891,30.8002025961423
2021-10-06,US,515,4,158,3788,331000000,-20.116810317985554,-84.78037537458137
2020-09-09,Taiwan,316,3,159,2035,24000000,-26.831849158095054,70.07838158160413
2020-05-26,US,325,5,126,2642,331000000,-0.6156808945681789,31.43944220580488
2020-05-26,China,307,5,195,2692,1402000000,-29.050315247802246,101.18225917864487
2021-03-27,US,484,3,297,1045,331000000,25.254324823037962,-110.57346996609613
2020-08-18,China,294,5,99,2490,1402000000,-22.804965482874373,10.215779481217282
2020-03-04,US,259,3,197,520,331000000,43.157828951017265,24.293769385362083
2020-03-27,Brazil,268,6,165,2873,212000000,-17.11649822709923,91.21616461924054
2020-09-14,China,346,4,242,2679,1402000000,-34.777168932543375,58.42005813766832
2022-03-17,China,623,9,245,3239,1402000000,33.72381970992154,-12.410613971570925
2021-04-03,US,413,4,219,1011,331000000,47.41303710329305,-121.91987609699737
2021-09-15,China,511,10,187,3790,1402000000,57.56300579854502,121.76627869546422
2021-06-27,US,425,9,268,3504,331000000,-29.503845836758202,25.39526889811205
2020-08-27,US,359,6,110,1575,331000000,-25.153486598659168,-20.258476294313624
2020-08-12,US,345,8,166,1249,331000000,-35.211264538597106,20.024227629632776
2020-05-05,Brazil,292,6,242,3037,212000000,2.216256642938241,-87.63670510305667
2021-09-13,India,441,7,272,3003,1380000000,-6.5470297350429405,-65.46685046769697
2021-03-31,US,392,5,236,2279,331000000,19.64380645161679,-4.407168131357352
2022-01-10,Spain,528,15,474,2185,47000000,3.399695311312705,87.24919395010767
2021-03-30,Italy,401,7,82,1714,60000000,13.963465362105637,-46.3936005898784
2021-04-19,China,404,7,310,3214,1402000000,22.48927687120117,-79.34546871078581
2020-11-07,Italy,375,3,90,1686,60000000,-27.19749111541094,12.975110757147405
2021-11-10,Brazil,455,7,154,2314,212000000,-35.51024721535472,73.8392776844965
2021-03-19,Taiwan,380,5,264,2508,24000000,5.10842981617229,101.00617483904972
2021-09-05,China,464,9,124,958,1402000000,18.218202320239257,-33.717181154881615
2020-06-12,Spain,309,6,225,1085,47000000,3.791614441115044,40.14490178366535
2020-08-29,US,346,10,88,1467,331000000,-15.039503543291687,-70.97796859817593
2021-01-02,China,360,3,204,2890,1402000000,-7.76575343091239,137.3401198550041
2021-03-08,Brazil,372,6,304,2863,212000000,-16.06177672944924,40.21795448740005
2021-06-25,China,492,13,177,3597,1402000000,-20.47956745982352,-96.741987910278
2020-08-26,Spain,316,8,143,906,47000000,11.0648790002478,80.53949492787123
2021-08-20,Taiwan,500,8,170,2349,24000000,-24.38154603649909,-95.59717564963239
2021-11-08,Brazil,469,11,126,2000,212000000,35.52788641008853,76.95683222112956
2021-10-02,Spain,523,7,164,1307,47000000,-0.6451905975432553,116.82092083353271
2020-08-03,US,334,6,82,1025,331000000,36.20625248471163,65.07752092704848
2022-01-11,Spain,547,15,215,3669,47000000,15.238669723494759,108.26097605210097
2020-07-15,India,338,5,153,2581,1380000000,-21.644788083183638,37.62317732583048
2020-04-19,Brazil,284,4,238,2035,212000000,52.28737493268342,87.85801411850093
2022-01-27,China,506,14,427,3656,1402000000,46.14853503549685,84.49287558779844
2020-07-11,China,311,5,268,1968,1402000000,-6.7214219674136615,60.32356184724199
2021-02-02,China,441,8,137,3541,1402000000,20.102637873581934,109.78865192988093
2020-11-06,China,414,5,352,1630,1402000000,-7.793984082981609,19.263657771453097
2021-09-02,China,467,13,140,3686,1402000000,-12.60590525017394,-43.10635966909619
2021-04-23,Italy,465,9,106,3977,60000000,55.53254090137612,-6.365316079750045
